Date,Juilin Date,Month,Day,Year,row,Week,AM Feed,AM Transparency,PM Feed,PM Transparency,Stocked,Spring Temp (F),Max Spring (F),Min Spring (F),Daily turbi mean,Max daily turbi,Max air temp,Min air temp,Dec Rain,Calmar Rain,Year class,Strain,Lot,Sub Lot,Raceway,# fish,Morts,Sub Lot % morts,Lot % mort,Strain % mort,Comments
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Arlee,ARA2,ARA2A2&A7A2,A2,10023,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Shasta,STA3,STA3A3,A3,10010,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Shasta,STA4,STA4A4,A4,10385,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Shasta,STA4,STA4A5,A5,10595,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Shasta,STA6,STA6A6,A6,7806,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Arlee,ARA7,ARA7A7,A7,9101,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Irwin X Arlee,IAC2,IAB1&B2&C2B1,B1,"7,995",,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Irwin X Arlee,IAC2,IAC2C2B2B2,B2,8132,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Arlee,ARA2,ARA2B3&A7B3,B3,9685,,0.0%,0.0%,0.0%,
4/22/2022,44673,4,22,2022,477,17,Y,5.45,X,5.92,,46.7,46.9,46.4,6.2,9.9,64,37,0.67,0.61,2021,Shasta,STA3,STA3B4,B4,9250,,0.0%,0.0%,0.0%,
